0,56,3,0,1933,0,0,19,10,44,2,-1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,31,1,0,3,0,0,20,6,91,2,-1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,27,1,0,891,1,0,18,6,240,1,-1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
3,57,2,0,3287,0,0,22,5,867,1,84,3,3,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,31,1,0,119,1,0,4,1,380,1,-1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5,33,2,0,0,1,0,2,1,116,3,-1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
6,56,1,0,1044,0,0,3,6,353,2,-1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
7,50,1,0,1811,0,0,8,5,97,4,-1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
8,45,1,0,1951,1,0,4,1,692,1,-1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,35,1,0,1204,0,0,3,8,789,2,-1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
10,36,1,1,0,0,1,15,6,687,7,-1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11,35,1,0,-151,1,0,5,1,96,2,-1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
12,44,1,0,237,1,0,28,0,212,2,-1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
13,39,1,0,1877,1,0,6,4,185,1,-1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
14,43,1,0,960,1,0,15,4,436,1,-1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
15,41,1,0,260,0,0,6,5,75,1,-1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
16,53,1,0,719,1,0,14,4,230,1,-1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
17,64,2,0,6251,0,0,5,1,125,7,-1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
18,44,0,0,4031,1,0,7,4,983,4,-1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
19,48,1,0,501,1,0,15,4,12,5,-1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20,60,2,0,328,1,0,20,4,72,5,-1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
21,29,2,0,507,1,0,20,5,20,33,-1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
22,30,1,0,78,1,0,24,6,132,1,-1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23,39,2,0,285,1,0,15,6,838,3,-1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
24,42,1,0,684,0,0,4,5,207,1,-1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
25,31,2,0,4720,1,0,13,7,460,2,-1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
26,60,0,0,17413,0,0,9,5,200,1,-1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
27,33,1,0,184,1,0,13,4,109,4,-1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
28,45,1,0,858,0,0,5,1,617,4,251,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
29,53,0,0,80,0,0,5,1,230,2,-1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
30,31,2,0,-205,1,0,3,5,56,12,-1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
31,39,2,0,0,1,0,6,1,13,8,9,2,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
32,46,0,0,-768,1,0,8,4,194,3,-1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
33,35,2,0,0,0,1,11,6,71,3,-1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
34,30,1,0,3750,1,0,20,10,124,1,-1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
35,32,2,0,2770,0,0,6,1,44,9,-1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
36,63,0,0,3738,0,0,9,10,301,1,456,4,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
37,47,0,0,823,0,0,19,5,191,3,-1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
38,49,2,0,279,1,0,19,4,168,4,-1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
39,31,1,0,13,0,1,6,1,1019,2,-1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
40,52,1,0,218,1,0,2,5,490,12,-1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
41,68,0,0,2301,0,0,14,7,90,3,120,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
42,31,1,0,589,1,1,21,4,151,1,-1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
43,33,1,0,580,1,0,28,4,36,1,-1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
